city,month,tweets,likes,retweets
New York City,2015-1,175,251,145
New York City,2015-2,141,667,431
New York City,2015-3,171,92,71
New York City,2015-4,140,93,110
New York City,2015-5,37,23,10
New York City,2015-6,73,27,43
New York City,2015-7,38,14,12
New York City,2015-8,17,17,16
New York City,2015-9,99,95,44
New York City,2015-10,52,40,18
New York City,2015-11,42,216,95
New York City,2015-12,66,93,54
New York City,2016-1,16,28,23
New York City,2016-2,28,18,9
New York City,2016-3,23,35,24
New York City,2016-4,32,29,3
New York City,2016-5,12,5,2
New York City,2016-6,14,28,29
New York City,2016-7,22,13,8
New York City,2016-8,12,19,19
New York City,2016-9,28,34,27
New York City,2016-10,25,8,1
New York City,2016-11,48,37,35
New York City,2016-12,16,22,19
New York City,2017-1,38,11,6
New York City,2017-2,33,30,11
New York City,2017-3,58,61,38
New York City,2017-4,41,17,7
New York City,2017-5,32,4,1
New York City,2017-6,66,46,28
New York City,2017-7,34,14,11
New York City,2017-8,34,229,189
New York City,2017-9,49,99,34
New York City,2017-10,29,110,21
New York City,2017-11,38,26,12
New York City,2017-12,11,99,22
Seattle,2015-1,30,23,7
Seattle,2015-2,24,11,9
Seattle,2015-3,28,22,6
Seattle,2015-4,35,55,55
Seattle,2015-5,29,24,35
Seattle,2015-6,27,7,5
Seattle,2015-7,20,3,5
Seattle,2015-8,24,12,10
Seattle,2015-9,10,1,1
Seattle,2015-10,12,2,1
Seattle,2015-11,13,1,1
Seattle,2015-12,9,2,2
Seattle,2016-1,6,0,0
Seattle,2016-2,4,3,0
Seattle,2016-3,8,3,0
Seattle,2016-4,3,4,1
Seattle,2016-5,4,0,0
Seattle,2016-6,1,0,0
Seattle,2016-7,5,2,0
Seattle,2016-8,4,0,0
Seattle,2016-9,4,1,0
Seattle,2016-10,6,5,2
Seattle,2016-11,8,5,1
Seattle,2016-12,2,0,0
Seattle,2017-1,9,3,0
Seattle,2017-2,3,0,0
Seattle,2017-3,7,0,0
Seattle,2017-4,8,1,0
Seattle,2017-5,2,6,3
Seattle,2017-6,10,6,1
Seattle,2017-7,2,0,0
Seattle,2017-8,3,2,0
Seattle,2017-9,4,5,1
Seattle,2017-10,5,7,4
Seattle,2017-11,2,10,1
Seattle,2017-12,2,0,0
Buffalo,2015-1,3,1,1
Buffalo,2015-2,10,16,2
Buffalo,2015-3,5,2,4
Buffalo,2015-4,1,0,0
Buffalo,2015-5,0,0,0
Buffalo,2015-6,0,0,0
Buffalo,2015-7,0,0,0
Buffalo,2015-8,0,0,0
Buffalo,2015-9,1,0,0
Buffalo,2015-10,0,0,0
Buffalo,2015-11,0,0,0
Buffalo,2015-12,0,0,0
Buffalo,2016-1,0,0,0
Buffalo,2016-2,0,0,0
Buffalo,2016-3,1,0,0
Buffalo,2016-4,1,1,1
Buffalo,2016-5,2,0,0
Buffalo,2016-6,0,0,0
Buffalo,2016-7,1,5,1
Buffalo,2016-8,0,0,0
Buffalo,2016-9,1,1,0
Buffalo,2016-10,0,0,0
Buffalo,2016-11,0,0,0
Buffalo,2016-12,2,0,0
Buffalo,2017-1,1,5,3
Buffalo,2017-2,1,0,0
Buffalo,2017-3,1,1,0
Buffalo,2017-4,1,0,0
Buffalo,2017-5,0,0,0
Buffalo,2017-6,0,0,0
Buffalo,2017-7,0,0,0
Buffalo,2017-8,1,1,1
Buffalo,2017-9,1,0,0
Buffalo,2017-10,0,0,0
Buffalo,2017-11,0,0,0
Buffalo,2017-12,1,0,0
